iab_category_code,spend_14d,daily_spend,pct_of_network
IAB24-1,0.13354455,0.0095,0.0
653.664.672,0.13108450534407642,0.0094,0.0
iab2-8,0.12962183260170967,0.0093,0.0
52.90.119,0.12985284798999996,0.0093,0.0
552.553,0.12871619999999998,0.0092,0.0
iab2-23,0.12819171172118787,0.0092,0.0
IAB23-9,0.12846384519023132,0.0092,0.0
iab2-5,0.12814294217632838,0.0092,0.0
iab2-16,0.12891729059899995,0.0092,0.0
iab2-15,0.12931415991500003,0.0092,0.0
132,0.12944239999999996,0.0092,0.0
210.217,0.12786737999999995,0.0091,0.0
223.230,0.12716149999999993,0.0091,0.0
IAB20-18 ,0.12528371800000002,0.0089,0.0
iab2-11,0.12431397194900003,0.0089,0.0
iab2-4,0.12318920831976576,0.0088,0.0
653.664.678,0.12251819999999994,0.0088,0.0
IAB9-30 ,0.12088380708037144,0.0086,0.0
483.498.505,0.11958072705981242,0.0085,0.0
596.632.635,0.11852850000000006,0.0085,0.0
iab2-2,0.11831723270198387,0.0085,0.0
iab2-12,0.11572158028426754,0.0083,0.0
680,0.11139620000000003,0.008,0.0
596.599.602.615,0.11262119999999991,0.008,0.0
123,0.10331224500399998,0.0074,0.0
483,0.10280399999999995,0.0073,0.0
iab2-3,0.10064788761399998,0.0072,0.0
186.192.197,0.09662047600000001,0.0069,0.0
483.518.519,0.09395450000000004,0.0067,0.0
239.269.271,0.09352597999999997,0.0067,0.0
IAB3-18,0.09329359847850771,0.0067,0.0
239.248.250,0.09311849999999992,0.0067,0.0
IAB3-25,0.09078627311210033,0.0065,0.0
391.410.413,0.09051615400000003,0.0065,0.0
201,0.08898279999999997,0.0064,0.0
274.275,0.0885766498203039,0.0063,0.0
IAB14-3,0.08865350326835633,0.0063,0.0
1.32,0.0874062,0.0062,0.0
1.28,0.08005550000000006,0.0057,0.0
IAB4-12,0.07997858000000001,0.0057,0.0
150.160,0.07934179999999999,0.0057,0.0
286.287.288,0.07736000000000003,0.0055,0.0
422.425,0.0747717999999999,0.0053,0.0
122,0.07224778113200003,0.0052,0.0
286.287.302.305,0.0679096,0.0049,0.0
IAB9-32,0.067419305,0.0048,0.0
483.498.502,0.0610904,0.0044,0.0
223.225.227,0.06153406,0.0044,0.0
483.525,0.057354699999999995,0.0041,0.0
552.560.561.565,0.057042539999999996,0.0041,0.0
286.287.315,0.056310584000000004,0.004,0.0
483.492,0.05394951999999999,0.0039,0.0
IAB10-17,0.05442895999542475,0.0039,0.0
483.496.497,0.05400149999999997,0.0039,0.0
286.287,0.05321589999999999,0.0038,0.0
286.287.297,0.053214700000000004,0.0038,0.0
422.424,0.052376099999999995,0.0037,0.0
IAB19-39,0.051694843008533775,0.0037,0.0
IAB9-34,0.05153389376399996,0.0037,0.0
IAB23-3,0.0499075528830719,0.0036,0.0
IAB11-8,0.0503907,0.0036,0.0
186.192.196,0.04842486168157461,0.0035,0.0
223.232.236,0.048570188,0.0035,0.0
210.211,0.0478487,0.0034,0.0
483.514,0.045986019999999996,0.0033,0.0
35,0.04545968267100001,0.0032,0.0
483.512,0.044403159989999975,0.0032,0.0
596.599.618,0.0430658,0.0031,0.0
1.2.14,0.0427904,0.0031,0.0
IAB3-15,0.04150098820000006,0.003,0.0
IAB26,0.04142459417710001,0.003,0.0
1.2.15,0.04205580439605715,0.003,0.0
391.396,0.0411317,0.0029,0.0
IAB23-6,0.04065113694644871,0.0029,0.0
274.276,0.039160000000000014,0.0028,0.0
1.2.10,0.0389856,0.0028,0.0
IAB3-11 ,0.03801101,0.0027,0.0
483.498.499,0.0345388,0.0025,0.0
121,0.03308609256000001,0.0024,0.0
239.261,0.0329186,0.0024,0.0
286.287.313,0.03177691933999999,0.0023,0.0
239.248.257,0.031713200000000004,0.0023,0.0
286.287.309,0.02873538,0.0021,0.0
223.224,0.029757400000000007,0.0021,0.0
IAB-228-223,0.02867107998935924,0.002,0.0
123.126,0.027753100000000006,0.002,0.0
653.664.674,0.027375400000000005,0.002,0.0
IAB7-21,0.02627742255954247,0.0019,0.0
483.484,0.025983299999999997,0.0019,0.0
223.231,0.025925599999999997,0.0019,0.0
IAB22-7,0.025556030999999993,0.0018,0.0
210.221,0.024075199999999995,0.0017,0.0
iab11-5,0.023589995030000005,0.0017,0.0
239.264.266,0.023196500000000002,0.0017,0.0
iab11,0.022549861301593685,0.0016,0.0
653.655.662,0.022910000000000007,0.0016,0.0
52.90.102,0.021222700000000008,0.0015,0.0
286.287.310,0.020479864660000003,0.0015,0.0
iab11-4,0.021183438791,0.0015,0.0
NEX9-109,0.020541039999999997,0.0015,0.0
239.248.254,0.019650900000000002,0.0014,0.0
iab11-2,0.018875833462009224,0.0013,0.0
IAB10-21,0.018842086957337856,0.0013,0.0
1.2.9,0.0179984,0.0013,0.0
596.599.602.606,0.0179173,0.0013,0.0
483.496,0.0165575,0.0012,0.0
596.599.602.607,0.016403500000000005,0.0012,0.0
42,0.01700474,0.0012,0.0
123.125,0.01705050431,0.0012,0.0
IAB10-19,0.016737500000000002,0.0012,0.0
239.269.270,0.0158256,0.0011,0.0
596.599.631,0.015155300000000005,0.0011,0.0
391.393.395,0.0144461,0.001,0.0
IAB7-48,0.01444494524,0.001,0.0
483.511,0.0134772,0.001,0.0
IAB3-14,0.013328900000000001,0.001,0.0
464,0.012490199999999998,0.0009,0.0
IAB18-3 ,0.011920799999999999,0.0009,0.0
422.427,0.012217400000000002,0.0009,0.0
132.149,0.012738200000000003,0.0009,0.0
239,0.012603519999999997,0.0009,0.0
IAB24-8,0.012856458016374587,0.0009,0.0
1.16.24,0.01309662,0.0009,0.0
596.599.619.629,0.010960899999999999,0.0008,0.0
239.248.256,0.01044052000000001,0.0007,0.0
186.192.193,0.0103128,0.0007,0.0
51,0.010179586000000001,0.0007,0.0
iab7-20,0.01005590163127853,0.0007,0.0
iab7-10,0.010037769733239998,0.0007,0.0
473.474,0.008012,0.0006,0.0
 IAB6-9,0.008014299999999999,0.0006,0.0
286.287.301,0.00897278831,0.0006,0.0
653.664.667,0.006868299999999999,0.0005,0.0
441.442,0.0066495600000000005,0.0005,0.0
386.388,0.0065907000000000006,0.0005,0.0
IAB10-20,0.006494001599277589,0.0005,0.0
274.282,0.0063388,0.0005,0.0
iab7-1,0.0049209969231873065,0.0004,0.0
653.664.671,0.005239000000000001,0.0004,0.0
483.542,0.00503064,0.0004,0.0
64,0.0050897410149999996,0.0004,0.0
IAB3-13,0.005021,0.0004,0.0
464.465,0.0053563,0.0004,0.0
239.248.253,0.0057507,0.0004,0.0
210.215,0.005871300000000001,0.0004,0.0
IAB9-WS1,0.00564801,0.0004,0.0
653.664.677,0.004742199999999999,0.0003,0.0
1.37,0.0043572,0.0003,0.0
IAB23-10,0.004099389,0.0003,0.0
1.2.13,0.004073,0.0003,0.0
210.219,0.0037184,0.0003,0.0
IAB12-4,0.0026504000000000002,0.0002,0.0
653.664.676,0.00213914,0.0002,0.0
IAB11 ,0.00216668599,0.0002,0.0
163.165,0.0024908,0.0002,0.0
483.545,0.002408,0.0002,0.0
1.2.8,0.0027595000000000002,0.0002,0.0
432,0.0029782000000000003,0.0002,0.0
596.599.602.612,0.0033245,0.0002,0.0
239.248.249,0.0034142,0.0002,0.0
186.192.198,0.0029286000000000004,0.0002,0.0
596.599.619.626,0.0008560000000000001,0.0001,0.0
iab7-28,0.001031299678,0.0001,0.0
483.485,0.0009283,0.0001,0.0
iab7-24,0.0009262670170000001,0.0001,0.0
iab7-4,0.000922966,0.0001,0.0
iab7-29,0.000899151148,0.0001,0.0
50,0.0008106834999999998,0.0001,0.0
iab7-14,0.000832142678,0.0001,0.0
iab7-35,0.0007962402146099999,0.0001,0.0
iab7-11,0.0007824020000000001,0.0001,0.0
iab7-26,0.0007561186780000001,0.0001,0.0
iab7-2,0.001200821074,0.0001,0.0
iab20-17,0.0011919768826943638,0.0001,0.0
iab7-39,0.0009665571390000001,0.0001,0.0
iab7-38,0.0012371766256256103,0.0001,0.0
iab7-9,0.00143339,0.0001,0.0
iab7-21,0.0012407654579083315,0.0001,0.0
IAB10-18,0.0019375,0.0001,0.0
IAB8-23,0.00188383,0.0001,0.0
123.131,0.0017663,0.0001,0.0
IAB0-1049,0.0017507629646626524,0.0001,0.0
iab7-12,0.0016127781390000001,0.0001,0.0
1.2.4,0.0018930000000000002,0.0001,0.0
653.655.659,0.00142052,0.0001,0.0
iab20-1,0.0012696264224874019,0.0001,0.0
IAB22-6,0.0012972849622675574,0.0001,0.0
iab20-10,0.0012938666610097884,0.0001,0.0
iab7-34,0.001418618639,0.0001,0.0
iab20-12,0.000128892,0.0,0.0
IAB12-11,0.0001293,0.0,0.0
iab7-13,0.000133795,0.0,0.0
IAB22 ,0.000135016,0.0,0.0
iab20-18,0.0001496,0.0,0.0
iab20-5,0.000165181,0.0,0.0
1.2.5,0.0001544,0.0,0.0
iab20,0.000243872268,0.0,0.0
iab20-11,0.000176,0.0,0.0
iab20-6,0.0001843,0.0,0.0
43,0.0001182,0.0,0.0
473.481,0.0001252,0.0,0.0
239.248.255,3.62e-05,0.0,0.0
iab7-6,0.000106643,0.0,0.0
78,0.00010507,0.0,0.0
223.225,9.400000000000001e-05,0.0,0.0
552.560.561,5.152e-05,0.0,0.0
422.423,4.92e-05,0.0,0.0
391.410.411,4.5400000000000006e-05,0.0,0.0
391.415,3.36e-05,0.0,0.0
596.599,0.0,0.0,0.0
483.498.506,0.0,0.0,0.0
IAB0,0.0,0.0,0.0
IAB24-11,0.00024579,0.0,0.0
223.232.233,0.0002442,0.0,0.0
iab7-36,0.0006767920000000001,0.0,0.0
IAB24-10,0.00030471000000000003,0.0,0.0
BSW12,0.0003148,0.0,0.0
iab7-33,0.000689943678,0.0,0.0
iab7-5,0.000677709,0.0,0.0
iab3-1,0.0006749199999999999,0.0,0.0
86,0.00066336,0.0,0.0
iab20-15,0.0006248401849604249,0.0,0.0
653.664.675,0.0005932000000000001,0.0,0.0
596.599.601,0.00055384,0.0,0.0
iab7-22,0.0005228022910000001,0.0,0.0
iab7-23,0.000520402,0.0,0.0
IAB-v9i3On,0.0005186132,0.0,0.0
iab7-37,0.000518177,0.0,0.0
239.248,0.000512,0.0,0.0
iab20-4,0.0005085153617045283,0.0,0.0
iab7-7,0.0005022430000000001,0.0,0.0
iab20-9,0.000495539,0.0,0.0
iab20-7,0.00048683826239347464,0.0,0.0
iab7-27,0.00043267100000000003,0.0,0.0
iab7-8,0.00040070000000000004,0.0,0.0
iab7-25,0.000347761678,0.0,0.0
iab20-16,0.00034577,0.0,0.0
IAB3-23,0.00034439999999999997,0.0,0.0
26,0.000322,0.0,0.0
iab7,0.000315507,0.0,0.0
Movies,0.0,0.0,0.0
