lookup_key,adomain,daily_spend
go-jek.com,go-jek.com,614.1368
getyourguide.es,getyourguide.es,613.8693
goplaycom.com,goplaycom.com,613.3972
bacanaplay.com,bacanaplay.com,612.9328
naturesway.com,naturesway.com,610.2821
audible.com,audible.com,609.1745
com.curly,com.curly,608.5761
com.zroute.global,com.zroute.global,608.0566
y38teu38.com,y38teu38.com,606.9594
ozon.ru,ozon.ru,606.8392
dailyinnovation.biz,dailyinnovation.biz,606.3756
bissell.com,bissell.com,606.3044
generalmills.com,generalmills.com,606.1298
mytaxi.com,mytaxi.com,606.1275
bidease.com,bidease.com,605.4549
com.pearl,com.pearl,604.4954
chumbacasino.com,chumbacasino.com,604.4526
esupplements.com,esupplements.com,604.2634
defense.tower.run.com,defense.tower.run.com,601.8382
kikoff.com,kikoff.com,600.7671
jarwanapp.com,jarwanapp.com,599.4756
bosbosgames.com,bosbosgames.com,595.4815
gpassport.zrrglobal.com,gpassport.zrrglobal.com,595.0833
coinbase.com,coinbase.com,594.9265
sams.com.mx,sams.com.mx,594.1677
speak.com,speak.com,594.0358
delimobil.ru,delimobil.ru,592.2294
umamusume.com,umamusume.com,590.697
saalt.com,saalt.com,589.9608
hepsiburada.pozitron.com,hepsiburada.pozitron.com,588.7758
fungames-forfree.com,fungames-forfree.com,587.7212
dominioaprovadobr8.com,dominioaprovadobr8.com,587.2096
2gis.ae,2gis.ae,587.2078
lazada.co.th,lazada.co.th,586.6745
mcanvas.com,mcanvas.com,585.2877
com.doki,com.doki,585.1172
helpx.adobe.com,helpx.adobe.com,584.2633
admiralbet.es,admiralbet.es,583.7745
eobuwie.com.pl,eobuwie.com.pl,582.7469
ninjatrader.com,ninjatrader.com,582.6548
ajio.com,ajio.com,580.9454
br.shopee.com,br.shopee.com,579.7553
vetniquelabs.com,vetniquelabs.com,578.498
expressvpn.com,expressvpn.com,578.3711
haegin.kr,haegin.kr,574.1448
americangirl.com,americangirl.com,572.1524
beymen.com,beymen.com,572.0976
cian.ru,cian.ru,571.2423
indshoping.com,indshoping.com,571.175
huawei.com,huawei.com,570.5976
meuponline.com,meuponline.com,568.9635
byoma.com,byoma.com,565.8214
lottoland.co.uk,lottoland.co.uk,565.6674
trustedconsumervoice.com,trustedconsumervoice.com,563.7032
hoff.ru,hoff.ru,563.2577
shopee.id,shopee.id,562.0183
lazada.com.ph,lazada.com.ph,560.66
huuugecasino.com,huuugecasino.com,559.6477
play.cewdf.xyz,play.cewdf.xyz,557.5561
lingokids.com,lingokids.com,557.5459
takealot.com,takealot.com,557.0612
mcdonalds.com,mcdonalds.com,554.9779
wildberries.ru,wildberries.ru,554.5801
cars.com,cars.com,554.5359
casino.nj.betmgm.com,casino.nj.betmgm.com,553.9088
freeplay.io,freeplay.io,553.0642
sports.ladbrokes.com,sports.ladbrokes.com,552.6113
slotscity.ua,slotscity.ua,550.5301
trendyol.sa,trendyol.sa,550.3122
pokerstars.com,pokerstars.com,548.7707
ichiba.rakuten.co.jp,ichiba.rakuten.co.jp,547.8686
higgsgameparty.com,higgsgameparty.com,547.7319
globoplay.globo.com,globoplay.globo.com,547.2516
puprime.com,puprime.com,546.5149
premierprotein.com,premierprotein.com,545.5717
esteelauder.com,esteelauder.com,545.2171
apps.apple.com,apps.apple.com,541.9312
arlo.com,arlo.com,541.1609
lavazza.com,lavazza.com,541.1218
sb-veil.discover-news.tokyo,sb-veil.discover-news.tokyo,541.1113
idealista.it,idealista.it,539.9598
com.winaxis.arionplayandroidapp,com.winaxis.arionplayandroidapp,539.2217
hp.com,hp.com,539.0837
corp.supercent.io,corp.supercent.io,538.9749
stockity.id,stockity.id,538.9583
bingocash.com,bingocash.com,538.1334
laneige.com,laneige.com,538.0835
capcut.com,capcut.com,536.5474
privacypolicies.com,privacypolicies.com,535.5778
tv.kukufm.com,tv.kukufm.com,535.3645
amazon.com.mx,amazon.com.mx,535.2994
7e1qnod2.com,7e1qnod2.com,533.0767
platacard.mx,platacard.mx,532.6842
gojek.io,gojek.io,530.0905
grab.com,grab.com,529.6955
cloverhit.top,cloverhit.top,529.4101
rainbow1.xyz,rainbow1.xyz,526.6053
mazdausa.com,mazdausa.com,526.2859
shopping.naver.com,shopping.naver.com,526.272
ostrovok.ru,ostrovok.ru,525.7402
mixbook.com,mixbook.com,524.5023
sutochno.ru,sutochno.ru,521.7666
7mq2xk9.com,7mq2xk9.com,521.5809
kiddopia.com,kiddopia.com,521.2334
ko.7xkngee.com,ko.7xkngee.com,520.8897
cropp.com,cropp.com,520.7326
mobile.mexcglobal.www,mobile.mexcglobal.www,520.2781
firedragongame.com,firedragongame.com,518.2244
moboreader.com,moboreader.com,517.6633
britbox.com,britbox.com,517.2771
klab.com,klab.com,517.0007
dabble.com.au,dabble.com.au,515.2519
healthycell.com,healthycell.com,514.9037
bonprix.fr,bonprix.fr,514.3204
qatarairways.com,qatarairways.com,514.0577
games.atlasreality.com,games.atlasreality.com,512.577
homagames.com,homagames.com,512.3002
moultrie.com,moultrie.com,512.1944
doubledowncasino.com,doubledowncasino.com,511.5686
youtube.com,youtube.com,511.2091
betrivers.com,betrivers.com,509.7689
mrbit.ro,mrbit.ro,509.0401
foodpanda.hk,foodpanda.hk,508.4138
jacklinks.com,jacklinks.com,508.0159
bidease.com_150625,bidease.com_150625,507.4403
bralyvn.com,bralyvn.com,507.349
dodobrands.io,dodobrands.io,505.2335
345win6.com,345win6.com,505.0589
comcast.com,comcast.com,501.3309
fuseboxgames.com,fuseboxgames.com,501.2345
step.com,step.com,500.7034
note.com,note.com,500.3386
privacy.twomerge.com,privacy.twomerge.com,500.3307
