pub_account,pub_account_id,region,am_name,pub_app,pub_app_id,pub_market_id,pub_daily_spend,exempted_domain_count,exempted_domains,reference_route_count,exempted_route_count,missing_route_count,top_missing_routes,app_daily_spend_exempted,exempted_route_network_daily,missing_route_network_daily,reference_route_network_daily,penetration_rate,est_uplift_missed_daily
Voodoo,56d55c72562b9c353800000d,EMEA,Hadil Salameh,Epic Plane Evolution,66b0c2e2e33c9a548741f773,6504122823,936.4398,7,"casino.draftkings.com,draftkings.com,fanaticsinc.com,fanduel.com,hardrock.bet,sportsbook.draftkings.com,underdogfantasy.com",13,10,3,draftkings.com|602442ef9f0893001526406b|US; casino.draftkings.com|602442ef9f0893001526406b|US; hardrock.bet|60770b778d0e4a0015f20ea9|US,29.643,44220.4376,5864.4583,50084.8959,0.00067035,3.9312
ToGather Fun Limited,634d301fa3774b001b7c0dbc,APAC,Harper Zhang,Screw Sort Puzzle,6667a74988cc429f2d801763,6499293031,1193.3197,39,"a23.com,a23poker.com,bc91231.com,blackjackist.com,casino.draftkings.com,com.id5l777.ntla197,draftkings.com,fanaticsinc.com,fon.bet,fonbet.ru,gameqqx.com,games24x7.com,gatesofolympus.com,googll.store,id.mpl.live,lattfolloweaken.com,ligastavok.ru,mintegral.com,mt.dhgygw.top,mt.hug8e.top",35,11,24,papayagaming.com|5fbc06efdcdfdb0015dda411|US; pari.ru|5f6413c9612b1a0015099993|RU; draftkings.com|602442ef9f0893001526406b|US,5.0957,50460.1472,37594.0291,88054.1763,0.00010098,3.7964
Gamebasics BV,561e8d936b8d90f61a000c29,,Sales Ops,Online Soccer Manager - iOS,6130d1b1e4bcd916bfa188d5,400201466,564.0222,39,"a23.com,a23poker.com,bc91231.com,blackjackist.com,casino.draftkings.com,com.id5l777.ntla197,draftkings.com,fanaticsinc.com,fon.bet,fonbet.ru,gameqqx.com,games24x7.com,gatesofolympus.com,googll.store,id.mpl.live,lattfolloweaken.com,ligastavok.ru,mintegral.com,mt.dhgygw.top,mt.hug8e.top",35,11,24,papayagaming.com|5fbc06efdcdfdb0015dda411|US; pari.ru|5f6413c9612b1a0015099993|RU; draftkings.com|602442ef9f0893001526406b|US,5.0294,50460.1472,37594.0291,88054.1763,9.967e-05,3.747
Voodoo,56d55c72562b9c353800000d,EMEA,Hadil Salameh,Aquapark.io,5cd9793d9ccc2b0012438b7c,1453989822,710.5107,7,"casino.draftkings.com,draftkings.com,fanaticsinc.com,fanduel.com,hardrock.bet,sportsbook.draftkings.com,underdogfantasy.com",13,10,3,draftkings.com|602442ef9f0893001526406b|US; casino.draftkings.com|602442ef9f0893001526406b|US; hardrock.bet|60770b778d0e4a0015f20ea9|US,25.9841,44220.4376,5864.4583,50084.8959,0.0005876,3.446
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,Zen Color  iOS,62f47a1d8a0eaaba3f3b6e30,1557392270,3666.1163,33,"a23.com,a23poker.com,bc91231.com,blackjackist.com,com.id5l777.ntla197,fon.bet,fonbet.ru,gameqqx.com,games24x7.com,gatesofolympus.com,googll.store,id.mpl.live,lattfolloweaken.com,ligastavok.ru,mintegral.com,mt.dhgygw.top,mt.hug8e.top,olimp.bet,pari.ru,play.zhsta.com",21,4,17,pari.ru|5f6413c9612b1a0015099993|RU; mintegral.com|60bdc983a982ad0017edb6f7|RU; ligastavok.ru|5f6413c9612b1a0015099993|RU,1.4132,8889.5341,21416.8646,30306.3987,0.00015897,3.4047
FARSUN PTE LTD,66aafef7514c00001147c0c9,APAC,Harper Zhang,FlickReels,66ab1f501ea687af3dc00e4e,6514312894,893.8792,6,"casino.draftkings.com,draftkings.com,fanduel.com,hardrock.bet,sportsbook.draftkings.com,underdogfantasy.com",12,9,3,draftkings.com|602442ef9f0893001526406b|US; casino.draftkings.com|602442ef9f0893001526406b|US; hardrock.bet|60770b778d0e4a0015f20ea9|US,23.7247,41204.4974,5864.4583,47068.9557,0.00057578,3.3766
Playsimple Games,568b8cb3bb2089a80600000a,Americas,Rutvij Jadav,Word Search Explorer,625d3d93b090bdfbd3c527c0,in.playsimple.wordsearch,1639.7783,7,"casino.draftkings.com,draftkings.com,fanaticsinc.com,fanduel.com,hardrock.bet,sportsbook.draftkings.com,underdogfantasy.com",13,10,3,draftkings.com|602442ef9f0893001526406b|US; casino.draftkings.com|602442ef9f0893001526406b|US; hardrock.bet|60770b778d0e4a0015f20ea9|US,25.1237,44220.4376,5864.4583,50084.8959,0.00056815,3.3319
Dots,561e8d976b8d90f61a004735,EMEA,Louis Wallworth,Twodots iOS,5b7c5bff274f5b2f7bc47219,880178264,1147.9624,41,"a23.com,a23poker.com,bc91231.com,bet.batery.in.twa,blackjackist.com,casino.draftkings.com,com.id5l777.ntla197,draftkings.com,fanaticsinc.com,fanduel.com,fon.bet,fonbet.ru,gameqqx.com,games24x7.com,gatesofolympus.com,googll.store,hardrock.bet,id.mpl.live,lattfolloweaken.com,ligastavok.ru",34,12,22,casino.draftkings.com|5f6413c9612b1a0015099993|CA; pari.ru|5f6413c9612b1a0015099993|RU; draftkings.com|602442ef9f0893001526406b|US,3.8349,43679.5822,36711.7124,80391.2946,8.78e-05,3.2231
Scopely,561e8d966b8d90f61a003414,Americas,Natalie Kenyon,New YAHTZEE® With Buddies – Fun Game for Friends,591539d970abb44126000394,com.scopely.yux,649.5941,7,"casino.draftkings.com,draftkings.com,fanaticsinc.com,fanduel.com,hardrock.bet,sportsbook.draftkings.com,underdogfantasy.com",13,10,3,draftkings.com|602442ef9f0893001526406b|US; casino.draftkings.com|602442ef9f0893001526406b|US; hardrock.bet|60770b778d0e4a0015f20ea9|US,23.8124,44220.4376,5864.4583,50084.8959,0.00053849,3.158
Voodoo,56d55c72562b9c353800000d,EMEA,Hadil Salameh,Mob Control Android,609a8393c5d1524132e8e288,com.vincentb.MobControl,2536.2485,8,"casino.draftkings.com,draftkings.com,fanaticsinc.com,fanduel.com,hardrock.bet,sportsbook.draftkings.com,tiktok.com,underdogfantasy.com",52,31,21,tiktok.com|5e89fcef428f870016d9e994|TH; tiktok.com|5f6413c9612b1a0015099993|ZA; tiktok.com|5f6413c9612b1a0015099993|TR,29.432,220679.9492,23531.9964,244211.9456,0.00013337,3.1385
SYBO Games,5c52bd6ffbeb402419bef87d,EMEA,Louis Wallworth,Subway Surfers (Non-COPPA),5e4e66ea60ce6a001791d156,512939461,4182.4116,41,"a23.com,a23poker.com,bc91231.com,bet.batery.in.twa,blackjackist.com,casino.draftkings.com,com.id5l777.ntla197,draftkings.com,fanaticsinc.com,fanduel.com,fon.bet,fonbet.ru,gameqqx.com,games24x7.com,gatesofolympus.com,googll.store,hardrock.bet,id.mpl.live,lattfolloweaken.com,ligastavok.ru",34,12,22,casino.draftkings.com|5f6413c9612b1a0015099993|CA; pari.ru|5f6413c9612b1a0015099993|RU; draftkings.com|602442ef9f0893001526406b|US,3.4535,43679.5822,36711.7124,80391.2946,7.906e-05,2.9026
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Nonogram Android,5d406c47cf18f200178643cf,com.easybrain.nonogram,1897.2346,37,"a23.com,a23poker.com,bc91231.com,blackjackist.com,casino.draftkings.com,com.id5l777.ntla197,draftkings.com,fanaticsinc.com,fon.bet,fonbet.ru,gameqqx.com,games24x7.com,gatesofolympus.com,googll.store,id.mpl.live,lattfolloweaken.com,ligastavok.ru,mintegral.com,mt.dhgygw.top,mt.hug8e.top",31,9,22,casino.draftkings.com|5f6413c9612b1a0015099993|CA; pari.ru|5f6413c9612b1a0015099993|RU; draftkings.com|602442ef9f0893001526406b|US,3.1175,40375.7506,36565.3976,76941.1482,7.721e-05,2.8233
Playsimple Games,568b8cb3bb2089a80600000a,Americas,Rutvij Jadav,Daily Themed Crossword - A Fun crossword Android,5af5545d8e03cf7acee13a66,in.crossy.daily_crossword,926.4727,7,"casino.draftkings.com,draftkings.com,fanaticsinc.com,fanduel.com,hardrock.bet,sportsbook.draftkings.com,underdogfantasy.com",13,10,3,draftkings.com|602442ef9f0893001526406b|US; casino.draftkings.com|602442ef9f0893001526406b|US; hardrock.bet|60770b778d0e4a0015f20ea9|US,19.8102,44220.4376,5864.4583,50084.8959,0.00044799,2.6272
OfferUp,650360eb0950ee00114dc484,Americas,Kasey Geist,OfferUp Android,6503642f5551fd9849db7a23,com.offerup,6082.1009,6,"casino.draftkings.com,draftkings.com,fanduel.com,hardrock.bet,sportsbook.draftkings.com,underdogfantasy.com",12,11,1,hardrock.bet|60770b778d0e4a0015f20ea9|US,148.2015,46374.8883,694.0674,47068.9557,0.00319573,2.2181
Mattel163 Limited,5b0fc58f19829714e5ad0d2f,APAC,Aria Gao,UNO!™,5b14f1387ea39141340a6d68,com.matteljv.uno,1202.5102,37,"a23.com,a23poker.com,bc91231.com,blackjackist.com,casino.draftkings.com,com.id5l777.ntla197,draftkings.com,fanaticsinc.com,fon.bet,fonbet.ru,gameqqx.com,games24x7.com,gatesofolympus.com,googll.store,id.mpl.live,lattfolloweaken.com,ligastavok.ru,mintegral.com,mt.dhgygw.top,mt.hug8e.top",31,9,22,casino.draftkings.com|5f6413c9612b1a0015099993|CA; pari.ru|5f6413c9612b1a0015099993|RU; draftkings.com|602442ef9f0893001526406b|US,1.9017,40375.7506,36565.3976,76941.1482,4.71e-05,1.7222
Skywork AI PTELTD,67c01767cc8ae200116e5d00,APAC,Ronald Long,FreeReels-iOS,6970c7fe73c0a231fff79cc7,6738081517,3320.4948,2,"casino.draftkings.com,draftkings.com",8,6,2,draftkings.com|5bc0e10e25c7d7796ebe8fc0|US; draftkings.com|5bc0e10e25c7d7796ebe8fc0|CA,37.1674,38315.7074,1753.8955,40069.6029,0.00097003,1.7013
Voodoo,56d55c72562b9c353800000d,EMEA,Hadil Salameh,Marble Sort!,693161fe713ec82bbfc4b736,com.microdose.balljam,1241.7543,1,tiktok.com,39,19,20,tiktok.com|5e89fcef428f870016d9e994|TH; tiktok.com|5f6413c9612b1a0015099993|ZA; tiktok.com|5f6413c9612b1a0015099993|TR,12.6244,171289.1207,22837.929,194127.0497,7.37e-05,1.6832
SYBO Games,5c52bd6ffbeb402419bef87d,EMEA,Louis Wallworth,Subway Surfers (Non-COPPA),5e4e6838246d020018f1e653,com.kiloo.subwaysurf,2143.2636,37,"a23.com,a23poker.com,bc91231.com,blackjackist.com,casino.draftkings.com,com.id5l777.ntla197,draftkings.com,fanaticsinc.com,fon.bet,fonbet.ru,gameqqx.com,games24x7.com,gatesofolympus.com,googll.store,id.mpl.live,lattfolloweaken.com,ligastavok.ru,mintegral.com,mt.dhgygw.top,mt.hug8e.top",31,9,22,casino.draftkings.com|5f6413c9612b1a0015099993|CA; pari.ru|5f6413c9612b1a0015099993|RU; draftkings.com|602442ef9f0893001526406b|US,1.8076,40375.7506,36565.3976,76941.1482,4.477e-05,1.637
Neron\'s Brother Sàrl,610a97385335b40017097b19,,Sales Ops,Supreme Duelist Stickman,610a9babaf13cf5a53374730,com.Neurononfire.SupremeDuelist,752.1409,33,"a23.com,a23poker.com,bc91231.com,blackjackist.com,com.id5l777.ntla197,fon.bet,fonbet.ru,gameqqx.com,games24x7.com,gatesofolympus.com,googll.store,id.mpl.live,lattfolloweaken.com,ligastavok.ru,mintegral.com,mt.dhgygw.top,mt.hug8e.top,olimp.bet,pari.ru,play.zhsta.com",21,4,17,pari.ru|5f6413c9612b1a0015099993|RU; mintegral.com|60bdc983a982ad0017edb6f7|RU; ligastavok.ru|5f6413c9612b1a0015099993|RU,0.5427,8889.5341,21416.8646,30306.3987,6.105e-05,1.3075
WeWard,5dcc0df6a4305a00173b9cf8,EMEA,Tori Edwards,WeWard,5dcc0ea50f531500173bd7c7,1454213029,1546.0387,6,"casino.draftkings.com,draftkings.com,fanduel.com,hardrock.bet,sportsbook.draftkings.com,underdogfantasy.com",12,11,1,hardrock.bet|60770b778d0e4a0015f20ea9|US,83.9944,46374.8883,694.0674,47068.9557,0.0018112,1.2571
Veraxen Ltd,561e8d936b8d90f61a00134a,EMEA,Kseniia Fesenko,Jigsaw Collection HD,524ad17f92fcd29365000006,642831690,1626.5089,39,"a23.com,a23poker.com,bc91231.com,blackjackist.com,casino.draftkings.com,com.id5l777.ntla197,draftkings.com,fanaticsinc.com,fon.bet,fonbet.ru,gameqqx.com,games24x7.com,gatesofolympus.com,googll.store,id.mpl.live,lattfolloweaken.com,ligastavok.ru,mintegral.com,mt.dhgygw.top,mt.hug8e.top",35,11,24,papayagaming.com|5fbc06efdcdfdb0015dda411|US; pari.ru|5f6413c9612b1a0015099993|RU; draftkings.com|602442ef9f0893001526406b|US,1.6705,50460.1472,37594.0291,88054.1763,3.311e-05,1.2446
Playsimple Games,568b8cb3bb2089a80600000a,Americas,Rutvij Jadav,Crossword Explorer,61fbd43bbb5dc5ef7a216388,1512407890,534.354,7,"casino.draftkings.com,draftkings.com,fanaticsinc.com,fanduel.com,hardrock.bet,sportsbook.draftkings.com,underdogfantasy.com",13,10,3,draftkings.com|602442ef9f0893001526406b|US; casino.draftkings.com|602442ef9f0893001526406b|US; hardrock.bet|60770b778d0e4a0015f20ea9|US,9.1593,44220.4376,5864.4583,50084.8959,0.00020713,1.2147
Severex,57c05f735b2bd4fa24000030,,Sales Ops,figgerits,63246d89d3a73abffd99d98b,1636821805,595.6902,39,"a23.com,a23poker.com,bc91231.com,blackjackist.com,casino.draftkings.com,com.id5l777.ntla197,draftkings.com,fanaticsinc.com,fon.bet,fonbet.ru,gameqqx.com,games24x7.com,gatesofolympus.com,googll.store,id.mpl.live,lattfolloweaken.com,ligastavok.ru,mintegral.com,mt.dhgygw.top,mt.hug8e.top",35,11,24,papayagaming.com|5fbc06efdcdfdb0015dda411|US; pari.ru|5f6413c9612b1a0015099993|RU; draftkings.com|602442ef9f0893001526406b|US,1.5279,50460.1472,37594.0291,88054.1763,3.028e-05,1.1383
Voodoo,56d55c72562b9c353800000d,EMEA,Hadil Salameh,Flappy Dunk,5950d4eef493bbec54002184,1235581326,901.4023,3,"casino.draftkings.com,draftkings.com,fanaticsinc.com",9,5,4,draftkings.com|602442ef9f0893001526406b|US; casino.draftkings.com|602442ef9f0893001526406b|US; draftkings.com|5bc0e10e25c7d7796ebe8fc0|US,5.8696,36161.2567,6924.2864,43085.5431,0.00016232,1.1239
SuperSonic Studios,5e3692d21cd3cb0018dd4329,EMEA,Beth Taylor-Lowen,Going Balls,5fa029b49f4c0275a7cf1372,1499081620,771.2801,36,"a23.com,a23poker.com,bc91231.com,blackjackist.com,casino.draftkings.com,com.id5l777.ntla197,draftkings.com,fanaticsinc.com,fon.bet,fonbet.ru,gameqqx.com,games24x7.com,gatesofolympus.com,googll.store,id.mpl.live,lattfolloweaken.com,ligastavok.ru,mintegral.com,mt.dhgygw.top,mt.hug8e.top",30,9,21,pari.ru|5f6413c9612b1a0015099993|RU; draftkings.com|602442ef9f0893001526406b|US; mintegral.com|60bdc983a982ad0017edb6f7|RU,1.7798,45050.7908,28341.151,73391.9418,3.951e-05,1.1197
PhotoCircle Inc.,602ad40427689c0015fb2d9e,EMEA,Louis Wallworth,PhotoCircle,6035b4c3019023aabed66830,517539894,1474.4478,6,"casino.draftkings.com,draftkings.com,fanduel.com,hardrock.bet,sportsbook.draftkings.com,underdogfantasy.com",12,11,1,hardrock.bet|60770b778d0e4a0015f20ea9|US,62.5448,46374.8883,694.0674,47068.9557,0.00134868,0.9361
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Sudoku - Classic Logic Puzzle Game,59d39cbfef6627a809002d5b,com.easybrain.sudoku.android,4265.0582,40,"a23.com,a23poker.com,bc91231.com,blackjackist.com,casino.draftkings.com,com.id5l777.ntla197,draftkings.com,fanaticsinc.com,fanduel.com,fon.bet,fonbet.ru,gameqqx.com,games24x7.com,gatesofolympus.com,googll.store,hardrock.bet,id.mpl.live,lattfolloweaken.com,ligastavok.ru,mintegral.com",34,14,20,pari.ru|5f6413c9612b1a0015099993|RU; draftkings.com|602442ef9f0893001526406b|US; mintegral.com|60bdc983a982ad0017edb6f7|RU,1.2919,53109.9717,27281.3229,80391.2946,2.432e-05,0.6636
SmartNews,67d0848db62d6b0011ccb35e,Americas,Lisa Tolentino,SmartNews iOS,67d272dadc73e19db732c198,579581125,13606.7959,5,"casino.draftkings.com,draftkings.com,kalshi.com,sportsbook.draftkings.com,wsj.com",10,7,3,sportsbook.draftkings.com|5bc0e10e25c7d7796ebe8fc0|US; draftkings.com|5bc0e10e25c7d7796ebe8fc0|US; draftkings.com|5bc0e10e25c7d7796ebe8fc0|CA,5.5528,48572.9747,5303.1019,53876.0766,0.00011432,0.6062
Playsimple Games,568b8cb3bb2089a80600000a,Americas,Rutvij Jadav,Word Trip iOS,5bebfb1c4de124001080db05,1214223596,1683.7419,7,"casino.draftkings.com,draftkings.com,fanaticsinc.com,fanduel.com,hardrock.bet,sportsbook.draftkings.com,underdogfantasy.com",13,12,1,hardrock.bet|60770b778d0e4a0015f20ea9|US,40.6336,49390.8285,694.0674,50084.8959,0.0008227,0.571
Scopely,561e8d966b8d90f61a003414,Americas,Natalie Kenyon,New YAHTZEE® With Buddies,5915396ce3b1195326000413,1206967173,705.3155,3,"casino.draftkings.com,draftkings.com,fanaticsinc.com",9,5,4,draftkings.com|602442ef9f0893001526406b|US; casino.draftkings.com|602442ef9f0893001526406b|US; draftkings.com|5bc0e10e25c7d7796ebe8fc0|US,2.5858,36161.2567,6924.2864,43085.5431,7.151e-05,0.4951
Voodoo,56d55c72562b9c353800000d,EMEA,Hadil Salameh,Hole.io,5f5ba15b8b44650001cad5b7,1389111413,1588.1584,3,"casino.draftkings.com,draftkings.com,fanaticsinc.com",9,5,4,draftkings.com|602442ef9f0893001526406b|US; casino.draftkings.com|602442ef9f0893001526406b|US; draftkings.com|5bc0e10e25c7d7796ebe8fc0|US,2.5693,36161.2567,6924.2864,43085.5431,7.105e-05,0.492
Rovio,561e8d946b8d90f61a002087,EMEA,Dina Eraksan,Angry Birds 2 Android,54c63cf4a684cd593e000128,com.rovio.baba,1568.5224,3,"pinterest.com,tiktok.com,voodoo.io",42,41,1,tiktok.com|63d743303639240014ba0dd0|ID,101.6507,197188.7073,841.4057,198030.113,0.0005155,0.4337
Gametion,561e8d956b8d90f61a0026fb,Americas,Rutvij Jadav,Ludo King,57bd636e47a977322200001a,993090598,806.2307,36,"a23.com,a23poker.com,bc91231.com,blackjackist.com,casino.draftkings.com,com.id5l777.ntla197,draftkings.com,fanaticsinc.com,fon.bet,fonbet.ru,gameqqx.com,games24x7.com,gatesofolympus.com,googll.store,id.mpl.live,lattfolloweaken.com,ligastavok.ru,mintegral.com,mt.dhgygw.top,mt.hug8e.top",30,9,21,pari.ru|5f6413c9612b1a0015099993|RU; draftkings.com|602442ef9f0893001526406b|US; mintegral.com|60bdc983a982ad0017edb6f7|RU,0.6848,45050.7908,28341.151,73391.9418,1.52e-05,0.4308
Sliide,643d1561e09b08001442e672,EMEA,Beth Taylor-Lowen,T-Mobile Play,68d40d4f63e6cee0292ae24b,com.tmobile.m1,1119.1264,3,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com",9,8,1,draftkings.com|602442ef9f0893001526406b|US,4.131,39708.8198,3909.9895,43618.8093,0.00010403,0.4068
Skywork AI PTELTD,67c01767cc8ae200116e5d00,APAC,Ronald Long,FreeReels-安卓,689b0fdef369593cb0e287e9,com.freereels.app,35620.5561,2,"casino.draftkings.com,draftkings.com",8,6,2,draftkings.com|5bc0e10e25c7d7796ebe8fc0|US; draftkings.com|5bc0e10e25c7d7796ebe8fc0|CA,8.8758,38315.7074,1753.8955,40069.6029,0.00023165,0.4063
Lihuhu,5d8880f1444f7200181b5e1d,APAC,Nam Trinh,Match Triple,61405fa047e8ae6d60071605,1530876832,698.5963,37,"a23.com,a23poker.com,bc91231.com,blackjackist.com,casino.draftkings.com,com.id5l777.ntla197,draftkings.com,fanaticsinc.com,fon.bet,fonbet.ru,gameqqx.com,games24x7.com,gatesofolympus.com,googll.store,id.mpl.live,lattfolloweaken.com,ligastavok.ru,mintegral.com,mt.dhgygw.top,mt.hug8e.top",31,9,22,casino.draftkings.com|5f6413c9612b1a0015099993|CA; pari.ru|5f6413c9612b1a0015099993|RU; draftkings.com|602442ef9f0893001526406b|US,0.4479,40375.7506,36565.3976,76941.1482,1.109e-05,0.4056
Voodoo,56d55c72562b9c353800000d,EMEA,Hadil Salameh,Ball Blast,5af56c332803314ab33837f0,1383187127,829.4025,3,"casino.draftkings.com,draftkings.com,fanaticsinc.com",9,5,4,draftkings.com|602442ef9f0893001526406b|US; casino.draftkings.com|602442ef9f0893001526406b|US; draftkings.com|5bc0e10e25c7d7796ebe8fc0|US,2.0234,36161.2567,6924.2864,43085.5431,5.595e-05,0.3874
Sofa IT doo,67b5b2c077bd1c00117b9adc,EMEA,Dumitru Cazacu,Sofascore android,67b5f446390c720c73a0e3f3,com.sofascore.results,2602.8979,6,"casino.draftkings.com,draftkings.com,fanduel.com,hardrock.bet,sportsbook.draftkings.com,underdogfantasy.com",12,11,1,hardrock.bet|60770b778d0e4a0015f20ea9|US,22.0544,46374.8883,694.0674,47068.9557,0.00047557,0.3301
HITAPPS GAMES LTD,6021599b8b3e5600159fcc76,EMEA,Beth Taylor-Lowen,Connect Words Android,66101aeac0c070078a9775cf,com.hitappsgames.connectwords,665.0986,36,"a23.com,a23poker.com,bc91231.com,blackjackist.com,casino.draftkings.com,com.id5l777.ntla197,draftkings.com,fanaticsinc.com,fon.bet,fonbet.ru,gameqqx.com,games24x7.com,gatesofolympus.com,googll.store,id.mpl.live,lattfolloweaken.com,ligastavok.ru,mintegral.com,mt.dhgygw.top,mt.hug8e.top",30,9,21,pari.ru|5f6413c9612b1a0015099993|RU; draftkings.com|602442ef9f0893001526406b|US; mintegral.com|60bdc983a982ad0017edb6f7|RU,0.5001,45050.7908,28341.151,73391.9418,1.11e-05,0.3146
Scopely,561e8d966b8d90f61a003414,Americas,Natalie Kenyon,Stumble Guys,6413698f6e7664ba85e052b5,1541153375,555.163,3,"casino.draftkings.com,draftkings.com,fanaticsinc.com",9,5,4,draftkings.com|602442ef9f0893001526406b|US; casino.draftkings.com|602442ef9f0893001526406b|US; draftkings.com|5bc0e10e25c7d7796ebe8fc0|US,0.9941,36161.2567,6924.2864,43085.5431,2.749e-05,0.1904
individual,622f2440e19c1e00147fc083,,Sales Ops,Vanced,62330ef11261eebebcaf40a0,com.biomes.vanced,1729.3434,6,"casino.draftkings.com,draftkings.com,fanduel.com,hardrock.bet,sportsbook.draftkings.com,underdogfantasy.com",12,11,1,hardrock.bet|60770b778d0e4a0015f20ea9|US,11.5201,46374.8883,694.0674,47068.9557,0.00024841,0.1724
Aged Studio Limited,5fc7301f7a7f0200153979c7,APAC,Seven Tu,Aged Solitaire GP,67d553af916355d36b9391fc,com.agedstudio.card.solitaire.klondike,771.6683,2,"casino.draftkings.com,draftkings.com",8,4,4,draftkings.com|602442ef9f0893001526406b|US; casino.draftkings.com|602442ef9f0893001526406b|US; draftkings.com|5bc0e10e25c7d7796ebe8fc0|US,0.8169,33145.3165,6924.2864,40069.6029,2.465e-05,0.1707
INJOY TECHNOLOGY PTE.LTD.,5f687c6436ca1e0016d5fd6d,APAC,Seven Tu,Shareit Lite,65016fb65946c49eb49f6691,shareit.lite,559.5803,36,"a23.com,a23poker.com,bc91231.com,blackjackist.com,casino.draftkings.com,com.id5l777.ntla197,draftkings.com,fanaticsinc.com,fon.bet,fonbet.ru,gameqqx.com,games24x7.com,gatesofolympus.com,googll.store,id.mpl.live,lattfolloweaken.com,ligastavok.ru,mintegral.com,mt.dhgygw.top,mt.hug8e.top",30,9,21,pari.ru|5f6413c9612b1a0015099993|RU; draftkings.com|602442ef9f0893001526406b|US; mintegral.com|60bdc983a982ad0017edb6f7|RU,0.2384,45050.7908,28341.151,73391.9418,5.29e-06,0.15
Rovio,561e8d946b8d90f61a002087,EMEA,Dina Eraksan,Angry Birds 2 iOS,54c63cb2a684cd593e000126,880047117,4596.3811,3,"pinterest.com,tiktok.com,voodoo.io",42,41,1,tiktok.com|63d743303639240014ba0dd0|ID,23.8885,197188.7073,841.4057,198030.113,0.00012115,0.1019
Gravity Labs,677cecb33b9ea20011273987,APAC,Ives Cui,Moneywalk_iOS,677cf457a18672e70722b88f,1638253339,1417.9879,2,"casino.draftkings.com,draftkings.com",8,6,2,draftkings.com|5bc0e10e25c7d7796ebe8fc0|US; draftkings.com|5bc0e10e25c7d7796ebe8fc0|CA,1.937,38315.7074,1753.8955,40069.6029,5.055e-05,0.0887
Playsimple Games,568b8cb3bb2089a80600000a,Americas,Rutvij Jadav,Crossword Jam : Fun Brain Game,5c6bcec910122f720df1553b,1269540854,1400.6844,7,"casino.draftkings.com,draftkings.com,fanaticsinc.com,fanduel.com,hardrock.bet,sportsbook.draftkings.com,underdogfantasy.com",13,10,3,draftkings.com|602442ef9f0893001526406b|US; casino.draftkings.com|602442ef9f0893001526406b|US; hardrock.bet|60770b778d0e4a0015f20ea9|US,0.6139,44220.4376,5864.4583,50084.8959,1.388e-05,0.0814
WeWard,5dcc0df6a4305a00173b9cf8,EMEA,Tori Edwards,WeWard,5dcc118aa641b70018d331eb,com.weward,762.3143,6,"casino.draftkings.com,draftkings.com,fanduel.com,hardrock.bet,sportsbook.draftkings.com,underdogfantasy.com",12,11,1,hardrock.bet|60770b778d0e4a0015f20ea9|US,4.3919,46374.8883,694.0674,47068.9557,9.47e-05,0.0657
Rovio,561e8d946b8d90f61a002087,EMEA,Dina Eraksan,Angry Birds Friends iOS,542a4bc8e59c024d0b00009b,555936735,920.6755,3,"pinterest.com,tiktok.com,voodoo.io",42,41,1,tiktok.com|63d743303639240014ba0dd0|ID,12.7646,197188.7073,841.4057,198030.113,6.473e-05,0.0545
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Blockudoku GP,5dc290cf1051eb0012a6b214,com.easybrain.block.puzzle.games,2959.6395,40,"a23.com,a23poker.com,bc91231.com,blackjackist.com,casino.draftkings.com,com.id5l777.ntla197,draftkings.com,fanaticsinc.com,fanduel.com,fon.bet,fonbet.ru,gameqqx.com,games24x7.com,gatesofolympus.com,googll.store,hardrock.bet,id.mpl.live,lattfolloweaken.com,ligastavok.ru,mintegral.com",34,14,20,pari.ru|5f6413c9612b1a0015099993|RU; draftkings.com|602442ef9f0893001526406b|US; mintegral.com|60bdc983a982ad0017edb6f7|RU,0.0,53109.9717,27281.3229,80391.2946,0.0,0.0
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,BVC Android,5bc875c0be31ab306a216ab2,bible.wordgame.words.connect.crossword.cookies,786.3024,33,"a23.com,a23poker.com,bc91231.com,blackjackist.com,com.id5l777.ntla197,fon.bet,fonbet.ru,gameqqx.com,games24x7.com,gatesofolympus.com,googll.store,id.mpl.live,lattfolloweaken.com,ligastavok.ru,mintegral.com,mt.dhgygw.top,mt.hug8e.top,olimp.bet,pari.ru,play.zhsta.com",21,4,17,pari.ru|5f6413c9612b1a0015099993|RU; mintegral.com|60bdc983a982ad0017edb6f7|RU; ligastavok.ru|5f6413c9612b1a0015099993|RU,0.0,8889.5341,21416.8646,30306.3987,0.0,0.0
Scopely,561e8d966b8d90f61a003414,Americas,Natalie Kenyon,Scrabble Go,59e7dc15a81a003c1700ebfe,com.pieyel.scrabble,4870.4114,5,"casino.draftkings.com,draftkings.com,fanaticsinc.com,papayagaming.com,solitairecash.com",13,7,6,papayagaming.com|5fbc06efdcdfdb0015dda411|US; draftkings.com|602442ef9f0893001526406b|US; papayagaming.com|60c86e9b217f2400175cfe6b|US,0.0,41570.6131,15605.802,57176.4151,0.0,0.0
